annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
20200099;VENDREDI;11/12/2020;13;11/04/2021;41;13;24;9;6;3;12;-6-9-13-24-41-;-3-12-;1;0;200000000;3;0;2364169,1;5;0;22819,6;20;0;1655,2;574;0;98;957;0;62,5;1373;0;31,3;12455;0;16,2;24341;0;10;58141;0;7,8;62053;0;8;314250;0;5,3;753910;0;3,6;1;3052;8;305,2;230;13,2;349;8,7;4577;1,6;8495;2,4;22740;4,2;36831;12;109852;2,2;850017;2,6;OR 273 6030;;
20200098;MARDI   ;08/12/2020;12;08/04/2021;1;46;21;4;24;2;12;-1-4-21-24-46-;-2-12-;0;0;0;2;4;5684144,4;4;16;19431,3;18;65;1489,8;347;1319;135,2;703;2616;72;815;3106;42,6;9825;38177;17,3;14866;58844;12,5;36647;142857;9,6;52688;203482;8,1;222926;874394;6;549225;2132408;3,9;1;2464;7;281,6;127;19,4;236;10,4;3510;1,7;5197;3,1;19157;4;31567;11,3;78502;2,5;692981;2,5;UF 576 9619;;
20200097;VENDREDI;04/12/2020;11;04/04/2021;14;38;20;27;34;1;11;-14-20-27-34-38-;-1-11-;0;0;0;4;6;1385679,2;8;26;15425,5;20;76;1643,7;499;1747;131,7;917;3422;71;1292;4703;36,3;13455;50925;16,7;21149;77496;12,3;56440;204601;8,6;71306;271544;7,9;300626;1107720;6,1;778710;2840869;3,8;3;1103,8;6;441,5;178;18,6;301;11;4608;1,7;7046;3,1;24459;4,2;41614;11,6;101950;2,6;895540;2,6;DN 528 1278;;
20200096;MARDI   ;01/12/2020;10;01/04/2021;29;49;20;14;47;12;4;-14-20-29-47-49-;-4-12-;0;0;0;0;3;328905,6;1;6;38435,3;10;53;1355,2;144;821;161,1;319;1848;75,6;378;1967;49,9;4698;26355;18,6;7382;39794;13,7;18544;97165;10,5;26020;143597;8,6;115063;606731;6,4;291381;1502470;4,1;0;0;3;833,1;46;30,1;122;11,3;1733;2;2620;3,5;9557;4,5;15848;12,7;40468;2,8;382566;2,6;FV 079 1121;;
20200095;VENDREDI;27/11/2020;9;28/03/2021;8;14;16;5;2;9;8;-2-5-8-14-16-;-8-9-;0;0;0;1;3;391023,1;5;28;9791,6;24;90;948,8;583;2157;72,9;632;2979;55,8;1170;4312;27,1;8245;40603;14,3;18091;77208;8,4;35174;153979;7,8;37932;196484;7,4;208511;976295;4,7;426947;1999670;3,7;1;1673,4;8;167,3;189;8,8;213;7,8;2870;1,4;6080;1,8;13218;3,9;20020;12,2;70405;1,9;483025;2,5;VG 924 9237;;
20200094;MARDI   ;24/11/2020;8;25/03/2021;50;33;38;42;25;12;8;-25-33-38-42-50-;-8-12-;0;0;0;1;5;176840,4;4;12;17221;7;40;1609,1;151;830;142,8;319;1615;77,6;416;2012;43,7;4485;23825;18,4;7044;37825;12,9;17269;90012;10,1;23507;125229;8,8;103129;552652;6,3;252717;1321424;4,2;0;0;2;1151;62;20,6;92;13,9;1574;2;2406;3,5;8363;4,8;14727;12,6;36176;2,9;361397;2,5;SP 913 9425;;
20200093;VENDREDI;20/11/2020;Super Jackpot et tirages suivants;20/01/2021;28;50;48;39;29;5;7;-28-29-39-48-50-;-5-7-;0;0;0;2;6;209127,7;2;7;41894,2;6;61;1497,4;225;1144;147;640;3110;57,1;553;2605;47,9;10992;49635;12,5;11040;53181;13,1;23420;113770;11,4;70409;298808;5,2;181677;842595;5,8;369721;1730636;4,6;0;0;0;0;86;66,2;228;8,9;3678;1,3;3777;3,6;23189;2,7;44279;6,7;62049;2,7;682220;2,1;FT 835 8023;;
20200092;MARDI   ;17/11/2020;6;17/01/2021;30;25;44;19;16;6;2;-16-19-25-30-44-;-2-6-;0;0;0;1;1;609799,2;0;4;35630;16;46;965;147;750;109;362;1896;45,5;306;1576;38,5;5462;26592;11,4;6556;32885;10,3;13607;70609;8,9;27954;135999;5,6;93962;464581;5,1;192599;982134;3,9;0;0;8;202,1;48;18,7;113;7,9;1927;1,1;2285;2,6;9695;2,9;15529;8,4;33277;2,2;271015;2,4;DQ 513 0923;;
20200091;VENDREDI;13/11/2020;5;13/01/2021;31;17;1;28;5;1;10;-1-5-17-28-31-;-1-10-;0;0;0;1;4;222454,1;8;26;7998,6;16;56;1156,7;395;1328;89,8;589;2073;60,8;925;3283;26,9;7409;27330;16,2;14440;50710;9,7;34975;125599;7,3;33783;133357;8,3;172944;644710;5,4;432727;1633896;3,4;0;0;5;565,6;134;11,7;183;8,5;2543;1,5;4873;2,1;11664;4,2;17174;13,3;58235;2,2;395681;2,8;AX 115 7025;;
20200090;MARDI   ;10/11/2020;4;10/01/2021;19;3;38;32;29;12;5;-3-19-29-32-38-;-5-12-;0;0;0;0;2;279894,1;0;3;43610,5;3;21;1940,5;87;529;141,9;188;1084;73,2;272;1360;41;2534;15129;18,4;4578;26244;11,8;11795;62688;9,2;13810;79417;8,8;68965;381713;5,7;180414;927880;3,8;0;0;0;0;24;95,7;77;10,6;985;2;1609;3,4;5343;4,8;8972;13,3;25271;2,6;220804;2,7;IB 051 3569;;
